row_id,section,page_slug,provider_or_product,source_url,metric_key,metric_label,metric_value_text,value_numeric,value_min,value_max,unit,tier,source_type,verification_date,is_headline,confidence,figure_status,notes
airport-lounges-airport-lounge__cancellation,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,Cancellation,Typically 24 hours' notice; inside that window the operators keep the money,24,,,,,own_review,2026-09-21,false,high,current,
airport-lounges-airport-lounge__corporate-identity,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,Corporate identity,No company registered at Companies House under the name Airport Lounges — checked 21 September 2026,,,,,,own_review,2026-09-21,false,high,current,
airport-lounges-airport-lounge__cost-of-one-lounge-visit,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,Cost of one lounge visit,"£29.99–£64 per adult, pre-booked — UK lounge operators' own published prices, checked 21 September 2026",,,,,,own_review,2026-09-21,true,high,current,
airport-lounges-airport-lounge__regulated,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,Regulated?,"No. A lounge pass is not a package holiday, carries no ATOL protection and has no financial regulator behind it",,,,,,own_review,2026-09-21,false,high,current,
airport-lounges-airport-lounge__standard-stay,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,Standard stay,Three hours before your scheduled departure; extra hours sold separately,,,,,,own_review,2026-09-21,false,high,current,
airport-lounges-airport-lounge__typical-uk-price,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,Typical UK price,"£31 at Humberside and Inverness, £38 at Gatwick North, £50 at Heathrow Terminal 3, £64 for Suite by Aspire at Newcastle",,,,,,own_review,2026-09-21,false,high,current,
airport-lounges-airport-lounge__what-it-sells,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,What it sells,"Single-visit airport lounge entry, pre-booked for a named date and flight",,,,,,own_review,2026-09-21,false,high,current,
airport-lounges-airport-lounge__who-runs-the-lounges,Airport Lounge,airport-lounges-airport-lounge,Airport Lounges Airport Lounge,https://compare100.com/airport-lounges-airport-lounge/,,Who runs the lounges,"Third parties — Swissport (Aspire, No1, Club Aspire, My Lounge, Clubrooms), CAVU Experiences (EMEA) Limited (Escape) and Plaza Premium",1,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__cheapest-uk-card-rate-found,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Cheapest UK card rate found,"£18.50 per person per visit (Barclaycard Avios Plus, £20 a month)",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__complaint-window,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Complaint window,"Six months from the visit, to LoungeKey rather than the lounge",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__contract-dated,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Contract dated,"Conditions of Use effective 28 June 2023, governed by English law",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__cost-of-one-lounge-visit,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Cost of one lounge visit,"£18.50–£24 per person per visit — set by your card issuer, guests charged the same",,,,,,own_review,2026-09-21,true,high,current,
loungekey-airport-lounge__guests,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Guests,"Charged the same per-person fee, and must enter with you",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__operated-by,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Operated by,"Priority Pass Limited, company 02728518, incorporated 3 July 1992",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__parent-group,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Parent group,"Collinson, company 11141096, 2,500+ staff in 19 locations",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__pre-booking,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Pre-booking,Extra where a lounge offers it — Monzo quotes at least £6 on top,6,,,GBP,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__registered-office,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Registered office,"3 More London Riverside, 5th Floor, London SE1 2AQ",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__sister-brand,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Sister brand,"Priority Pass — 1,900+ lounges, 600+ cities, US$99 to US$469 a year",,,,,,own_review,2026-09-21,false,high,current,
loungekey-airport-lounge__typical-uk-card-rate,Airport Lounge,loungekey-airport-lounge,LoungeKey Airport Lounge,https://compare100.com/loungekey-airport-lounge/,,Typical UK card rate,£24 per person per visit (Monzo Premium and Monzo Max),24,,,GBP,,own_review,2026-09-21,false,high,current,
a2z-airport-parking-compare-book__airports-listed,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Airports listed,"21, from Aberdeen and Belfast International to Southend and Stansted",21,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__booking-fee,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Booking fee,"Charged on every booking, non-refundable, and the amount is not published anywhere on the site",,,,,,own_review,2026-09-23,false,high,current,
