slug,title,cat,clicks,impressions,merchant,network,current_url,your_affiliate_url
moneybox-cash-isa,Moneybox Cash ISA,ISA's,516,25592,moneyboxapp.com,,https://www.moneyboxapp.com/cash-isa?source=Compare100.com,
lloyds-bank-cash-isa,Lloyds Bank Cash ISA,ISA's,391,38501,lloydsbank.com,,https://www.lloydsbank.com/isas.html/?source=Compare100.com,
cazoo-cars-for-sale,Cazoo Cars for Sale,Cars for Sale,328,23373,cazoo.co.uk,,https://www.cazoo.co.uk/?source=Compare100.com,
cynergy-bank-savings-account,Cynergy Bank Savings Account,Savings Accounts,319,13284,cynergybank.co.uk,,https://www.cynergybank.co.uk/personal/online-notice-saver?source=Compare100.com,
nationwide-cash-isa,Nationwide Cash ISA,ISA's,290,39323,nationwide.co.uk,,https://www.nationwide.co.uk/savings/cash-isas?source=Compare100.com,
leeds-building-society-cash-isa,Leeds Building Society Cash ISA,ISA's,263,29764,leedsbuildingsociety.co.uk,,https://www.leedsbuildingsociety.co.uk/savings/cash-isas?source=Compare100.com,
admiral-motorbike-insurance-review,Admiral Insurance Motorbike Insurance,Motorbike Insurance,81,983,r.admiral.com,,https://r.admiral.com/andrewk-3110,
holiday-extras-airport-parking,Holiday Extras Airport Parking,Airport Parking,74,6290,holidayextras.com,,https://www.holidayextras.com/?source=Compare100.com,
lloyds-bank-personal-loan,Lloyds Bank Personal Loan,Loans,73,5992,lloydsbank.com,,https://www.lloydsbank.com/loans.html?source=Compare100.com,
black-circles-tyres,Black Circles Tyres,Tyres,63,32847,blackcircles.com,,https://www.blackcircles.com/?source=Compare100.com,
insuremore-travel-insurance-review,Insuremore.co.uk Travel Insurance,Travel Insurance,60,1220,scripts.affiliatefuture.com,,https://scripts.affiliatefuture.com/AFClick.asp?affiliateID=252689&merchantID=6720&programmeID=19640&mediaID=155406&tracking=&afsource=10&url=,
barclays-personal-loan,Barclays Personal Loan,Loans,56,5391,barclays.co.uk,,https://www.barclays.co.uk/loans/?source=Compare100.com,
aviva-travel-insurance-review,Aviva Travel Insurance,Travel Insurance,50,7758,direct.aviva.co.uk,,https://www.direct.aviva.co.uk/quote/Direct/Travel?source=Compare100.com,
john-lewis-televisions,John Lewis Televisions,Televisions,46,6773,johnlewis.com,,https://www.johnlewis.com/?source=Compare100.com,
aa-vehicle-inspections,AA Vehicle Inspections,Vehicle Inspections,44,5065,theaa.com,,https://www.theaa.com/vehicle-inspections?source=Compare100.com,
santander-savings-account,Santander Savings Account,Savings Accounts,42,11626,santander.co.uk,,https://www.santander.co.uk/personal/savings-and-investments/savings?,
kwik-fit-tyres,Kwik Fit Tyres,Tyres,39,9587,kwik-fit.com,,https://www.kwik-fit.com/tyres?source=Compare100.com,
nationwide-savings-account,Nationwide Savings Account,Savings Accounts,32,6949,nationwide.co.uk,,https://www.nationwide.co.uk/savings?source=Compare100.com,
natwest-credit-cards,NatWest Credit Cards,Credit Cards,30,10862,natwest.com,,https://www.natwest.com/credit-cards.html?source=Compare100.com,
first-direct-1st-account,First Direct 1st Account,Current Accounts,28,1871,firstdirect.com,,https://www.firstdirect.com/banking/current-account/?source=Compare100.com,
loungekey-airport-lounge,LoungeKey Airport Lounge,Airport Lounge,28,1167,loungekey.com,,https://www.loungekey.com/?source=Compare100.com,
carwow-cars-for-sale,Carwow Cars for Sale,Cars for Sale,25,4234,carwow.co.uk,,https://www.carwow.co.uk/?source=Compare100.com,
oneweb-satellite-internet,OneWeb Satellite Internet,Satellite Internet,22,284,oneweb.net,,https://oneweb.net/?source=Compare100.com,
lloyds-bank-mortgage-deals,Lloyds Bank Mortgage Deals,Mortgage Deals,18,4291,lloydsbank.com,,https://www.lloydsbank.com/mortgages.html?source=Compare100.com,
le-boat-uk-boating-holidays,Le Boat Boating Holidays: Your Ultimate Guide to Self-Drive UK Canal &amp; River Adventures in 2025,UK Boating Holidays,18,2091,leboat.co.uk,,https://www.leboat.co.uk/?source=Compare100.com,
aldermore-savings-account,Aldermore Savings Account,Savings Accounts,16,11251,aldermore.co.uk,,https://www.aldermore.co.uk/savings-accounts/personal-savings-accounts/?source=Compare100.com,
nationwide-mortgage-deals,Nationwide Mortgage Deals,Mortgage Deals,16,2623,nationwide.co.uk,,https://www.nationwide.co.uk/mortgages?source=Compare100.com,
nationwide-flexdirect-account,Nationwide FlexDirect Account,Current Accounts,14,5833,nationwide.co.uk,,https://www.nationwide.co.uk/current-accounts/?source=Compare100.com,
lv-home-insurance-review,LV= Home Insurance,Home Insurance,14,4351,lv.com,,https://www.lv.com/home-insurance?source=Compare100.com,
barclaycard-credit-cards,Barclaycard Credit Cards,Credit Cards,12,11837,barclaycard.co.uk,,https://www.barclaycard.co.uk/personal/credit-cards?source=Compare100.com,
rac-vehicle-inspections,RAC Vehicle Inspections,Vehicle Inspections,11,1957,rac.co.uk,,https://www.rac.co.uk/vehicle-inspections?source=Compare100.com,
saga-travel-insurance-review,Saga Travel Insurance,Travel Insurance,10,8285,saga.co.uk,,https://www.saga.co.uk/insurance/travel-insurance?source=Compare100.com,
santander-credit-cards,Santander Credit Cards,Credit Cards,10,5361,santander.co.uk,,https://www.santander.co.uk/uk/credit-cards?source=Compare100.com,
british-seniors-over-50s-insurance,British Seniors Over 50’s Insurance,Over 50's Insurance,10,547,britishseniors.co.uk,,https://www.britishseniors.co.uk/over-50s-life-insurance/?source=Compare100.com,
ats-euromaster-servicing,ATS Euromaster Servicing,Servicing,10,273,atseuromaster.co.uk,,https://www.atseuromaster.co.uk/?source=Compare100.com,
lloyds-bank-club-lloyds-account,Lloyds Bank Club Lloyds Account,Current Accounts,9,9616,lloydsbank.com,,https://www.lloydsbank.com/current-accounts.html?source=Compare100.com,
close-brothers-savings-account,Close Brothers Savings Account,Savings Accounts,9,3236,closesavings.co.uk,,https://www.closesavings.co.uk/personal/savings-accounts?source=Compare100.com,
hsbc-credit-cards,HSBC Credit Cards,Credit Cards,9,2489,hsbc.co.uk,,https://www.hsbc.co.uk/credit-cards/?source=Compare100.com,
aviva-landlord-insurance-review,Aviva Landlord’s Insurance,Landlord's Insurance,9,424,aviva.co.uk,,https://www.aviva.co.uk/insurance/home-products/landlord-insurance/?source=Compare100.com,
ats-euromaster-tyres,ATS Euromaster Tyres,Tyres,8,791,atseuromaster.co.uk,,https://www.atseuromaster.co.uk/consumer/tyres?source=Compare100.com,
direct-line-car-insurance-review,Direct Line Car Insurance,Car Insurance Deals,7,3298,directline.com,,https://www.directline.com/car-insurance?source=Compare100.com,
start-rescue-breakdown-insurance-review,Start Rescue Breakdown Insurance,Breakdown Insurance,7,1466,startrescue.co.uk,,https://www.startrescue.co.uk/breakdown-cover?source=Compare100.com,
mr-clutch-servicing,Mr Clutch Servicing,Servicing,7,1019,mrclutch.com,,https://www.mrclutch.com/?source=Compare100.com,
legal-general-life-insurance,Legal &amp; General Life Insurance,Life Insurance,7,959,legalandgeneral.com,,https://www.legalandgeneral.com/insurance/life-insurance/?source=Compare100.com,
formula-one-autocentres-servicing,Formula One Autocentres Servicing,Servicing,7,889,f1autocentres.co.uk,,https://www.f1autocentres.co.uk/?source=Compare100.com,
the-aa-van-insurance-review,The AA Van Insurance,Van Insurance,7,440,theaa.com,,https://www.theaa.com/van-insurance?source=Compare100.com,
octopus-energy-dual-fuel,Octopus Energy Dual Fuel,Dual Fuel,7,192,octopus.energy,,https://octopus.energy/?source=Compare100.com,
cazoo-sell-my-car,Cazoo Sell My Car,Sell Your Car,7,112,cazoo.co.uk,,https://www.cazoo.co.uk/sell?source=Compare100.com,
aviva-life-insurance,Aviva Life Insurance,Life Insurance,6,1636,aviva.co.uk,,https://www.aviva.co.uk/insurance/life-products/life-insurance/?source=Compare100.com,
cruise-nation-worldwide-cruises,Cruise Nation Worldwide Cruises: Your Gateway to Unbeatable Cruise Deals in 2025,Worldwide Cruises,6,256,cruisenation.com,,https://www.cruisenation.com/?source=Compare100.com,
barclays-mortgage-deals,Barclays Mortgage Deals,Mortgage Deals,5,2228,barclays.co.uk,,https://www.barclays.co.uk/mortgages/?source=Compare100.com,
hastings-direct-car-insurance-review,Hastings Direct Car Insurance,Car Insurance Deals,4,3078,hastingsdirect.com,,https://www.hastingsdirect.com/car-insurance?source=Compare100.com,
protect-your-bubble-phone-insurance,Protect Your Bubble Phone Insurance,Phone Insurance,4,3071,uk.protectyourbubble.com,,https://uk.protectyourbubble.com/?source=Compare100.com,
kwik-fit-servicing,Kwik Fit Servicing,Servicing,4,1030,kwik-fit.com,,https://www.kwik-fit.com/?source=Compare100.com,
santander-mortgage-deals,Santander Mortgage Deals,Mortgage Deals,4,847,santander.co.uk,,https://www.santander.co.uk/personal/mortgages?source=Compare100.com,
aa-car-check,AA Car Check,HPI Checks,3,638,theaa.com,,https://www.theaa.com/vehicle-check?source=Compare100.com,
trading-212-cash-isa,Trading 212 Cash ISA,ISA's,3,497,trading212.com,,https://www.trading212.com/cash-isa?source=Compare100.com,
standard-life-pension,Standard Life Pension,Pensions,3,496,standardlife.co.uk,,https://www.standardlife.co.uk/pensions?source=Compare100.com,
british-gas-plumbing-insurance,British Gas Plumbing Insurance,Plumbing Insurance,3,487,britishgas.co.uk,,https://www.britishgas.co.uk/cover/boiler-and-heating.html?source=Compare100.com,
parkers-cars-for-sale,Parkers Cars for Sale,Cars for Sale,3,458,parkers.co.uk,,https://www.parkers.co.uk/?source=Compare100.com,
starlink-satellite-internet,Starlink Satellite InternetStarlink UK Satellite Internet (2026 Guide),Satellite Internet,3,266,starlink.com,,https://www.starlink.com/?source=Compare100.com,
aviva-over-50s-insurance,Aviva Over 50’s Insurance,Over 50's Insurance,3,265,aviva.co.uk,,https://www.aviva.co.uk/insurance/life-products/over-50-life-insurance?source=Compare100.com,
