slug,pos,impr,networks,commission,tracked,done,last_checked,score
quotezone-car-insurance-review,40.4,39,Quotezone,2,YES,,,90.2
quotezone-home-insurance-review,44.3,13,Quotezone,2,YES,,,90.1
quotezone-landlord-insurance-review,49.4,11,Quotezone,2,YES,,,90.1
quotezone-motorbike-insurance-review,72.5,14,Quotezone,2,YES,,,90.1
quotezone-van-insurance-review,35.6,9,Quotezone,2,YES,,,90.0
quotezone-travel-insurance-review,39.6,8,-,0,NO,,,90.0
quotezone-tradesman-insurance-review,48.7,6,Quotezone,2,YES,,,90.0
direct-line-car-insurance-review,71.0,604,-,0,NO,,,73.0
lv-home-insurance-review,36.0,572,-,0,NO,,,72.9
aviva-car-insurance-review,60.1,550,-,0,NO,,,72.8
john-lewis-home-insurance-review,50.9,507,-,0,NO,,,72.5
direct-line-landlord-insurance-review,52.2,385,-,0,NO,,,71.9
hastings-direct-car-insurance-review,52.9,336,-,0,NO,,,71.7
compare-boat-insurance-review,86.8,282,-,0,NO,,,71.4
start-rescue-breakdown-insurance-review,35.3,266,-,0,NO,,,71.3
axa-home-insurance-review,53.0,269,-,0,NO,,,71.3
haven-knox-johnston-boat-insurance-review,38.8,223,-,0,NO,,,71.1
hiscox-tradesman-insurance-review,46.4,191,-,0,NO,,,71.0
axa-landlord-insurance-review,48.4,167,-,0,NO,,,70.8
aviva-landlord-insurance-review,54.5,154,-,0,NO,,,70.8
the-aa-breakdown-insurance-review,58.7,160,-,0,NO,,,70.8
towergate-boat-insurance-review,39.6,129,-,0,NO,,,70.6
voyager-travel-insurance-review,52.0,105,CJ,8,YES,,,70.5
the-aa-van-insurance-review,62.4,83,-,0,NO,,,70.4
eversure-breakdown-insurance-review,47.4,59,-,0,NO,,,70.3
saga-landlord-insurance-review,46.9,55,-,0,NO,,,70.3
insure4boats-boat-insurance-review,51.1,67,-,0,NO,,,70.3
the-aa-europa-bike-insurance-review,54.7,70,-,0,NO,,,70.3
insuremore-travel-insurance-review,63.0,52,Affiliate Future,8,YES,,,70.3
smart-cover-plumbing-insurance,88.8,54,Awin,8,YES,,,70.3
wicked-quotes-motorbike-insurance-review,40.5,19,-,0,NO,,,70.1
noble-marine-boat-insurance-review,41.2,15,-,0,NO,,,70.1
comfort-breakdown-insurance-review,50.4,23,-,0,NO,,,70.1
insurance2go-phone-insurance,33.0,9,-,0,NO,,,70.0
performance-direct-motorbike-insurance-review,40.6,8,-,0,NO,,,70.0
mymoneycomparison-breakdown-insurance-review,57.4,7,Awin,8,YES,,,70.0
simply-business-tradesman-insurance-review,42.0,3,-,0,NO,,,70.0
axa-tradesman-insurance-review,61.7,9,-,0,NO,,,70.0
aviva-over-50s-insurance,67.5,10,-,0,NO,,,70.0
row-co-uk-phone-insurance,70.0,2,-,0,NO,,,70.0
legal-general-life-insurance,82.0,2,-,0,NO,,,70.0
carmoola-car-finance,47.4,2025,Awin,8,YES,,,65.1
carphone-warehouse-phones,56.4,658,Awin,8,YES,,,58.3
